FID,Rock Name,Rock Type,Aquifer Name,Aquifer Code,Shape__Area,Shape__Length
4458,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,228712.0977,2036.226548
4459,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,48693.67578,1076.711506
4460,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,250244.1328,2556.459333
4461,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,59729.19922,988.7649647
4462,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,772013.7266,3324.380736
4463,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,101926.7188,1312.683057
4464,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,190929.2852,2182.46767
4465,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,656878.8086,4438.752611
4466,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,8889215.148,30658.54559
4467,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,331679.4648,4405.848558
4468,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,267732.4102,5016.219952
4469,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,244135.5352,2706.986239
4470,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,7721859.383,35298.83119
4471,Igneous and metamorphic-rock,600,Hawaiian Sedimentary Deposit Aquifers,609,6687150.855,33940.68481
4472,Igneous and metamorphic-rock,600,Hawaiian Volcanic-rock Aquifers,608,97361.17578,1199.768794
